pmid,start_line,end_line
10097184.0,1,203
1016220.0,205,333
10216257.0,335,568
10220463.0,570,809
10225945.0,811,1001
10228173.0,1003,1193
10318684.0,1195,1375
10318698.0,1377,1594
10323240.0,1596,1807
10330470.0,1809,2081
10330475.0,2083,2287
10332606.0,2289,2578
10344200.0,2580,2807
10344210.0,2809,3102
10346897.0,3104,3310
10364405.0,3312,3513
10368178.0,3515,3728
10369957.0,3730,3887
10370124.0,3889,4138
10377428.0,4140,4416
10385992.0,4418,4534
10388831.0,4536,4775
10393237.0,4777,4942
10393983.0,4944,5174
10394920.0,5176,5399
10394950.0,5401,5617
10395456.0,5619,5801
10398701.0,5803,6016
10402425.0,6018,6195
10402426.0,6197,6392
10402435.0,6394,6690
10407440.0,6692,6800
10412900.0,6802,7069
10412912.0,7071,7286
10417723.0,7288,7459
10419491.0,7461,7768
10421366.0,7770,7962
10427770.0,7964,8083
10428875.0,8085,8442
10430597.0,8444,8676
10430884.0,8678,8943
10437831.0,8945,9095
10441504.0,9097,9266
10444094.0,9268,9501
10444096.0,9503,9693
10449588.0,9695,9954
10467026.0,9956,10279
10468640.0,10281,10516
10469205.0,10518,10722
10471723.0,10724,10980
10471724.0,10982,11192
10471726.0,11194,11411
10471808.0,11413,11554
10474904.0,11556,11833
10481947.0,11835,12143
10482678.0,12145,12368
10483090.0,12370,12575
10485281.0,12577,12851
10488116.0,12853,13016
10488237.0,13018,13185
10498696.0,13187,13455
10500235.0,13457,13720
10504559.0,13722,13967
10504570.0,13969,14155
10504571.0,14157,14334
10504582.0,14336,14545
10504583.0,14547,14819
10506201.0,14821,15080
10511568.0,15082,15308
10511572.0,15310,15497
10511573.0,15499,15710
10517832.0,15712,15955
10517852.0,15957,16287
10521516.0,16289,16497
10521517.0,16499,16644
10521527.0,16646,16793
10524240.0,16795,16944
10525534.0,16946,17164
10527424.0,17166,17424
10545468.0,17426,17633
10545471.0,17635,17933
10545473.0,17935,18159
10545948.0,18161,18352
10551350.0,18354,18589
10557252.0,18591,18820
10579491.0,18822,18985
10580155.0,18987,19148
10583402.0,19150,19429
10585189.0,19431,19532
10585502.0,19534,19768
