pmid,annotations
10097184.0,chromosome
1016220.0,"starch, content"
10216257.0,
10220463.0,leaves
10225945.0,
10228173.0,
10318684.0,
10318698.0,
10323240.0,"chromosome, chromosome, chromosome, chromosome"
10330470.0,
10330475.0,
10332606.0,"leaves, morphological"
10344200.0,"lignin, biosynthesis"
10344210.0,"fertilization, fertilization"
10346897.0,
10364405.0,"leaves, photosynthesis, BS, BS"
10368178.0,"leaves, chlorophyll, content, leaves, leaves, leaves, cytokinin, content, leaves"
10369957.0,
10370124.0,"inflorescence, development, organ, identity, determinacy"
10377428.0,"space, space, chromosome"
10385992.0,
10388831.0,chromosome
10393237.0,
10393983.0,"chromosome, chromosome"
10394920.0,
10394950.0,"fall, armyworm"
10395456.0,"branching, branching"
10398701.0,
10402425.0,
10402426.0,"cell, shape, leaves, leaves"
10402435.0,"lesion, mimic"
10407440.0,"seed, yield, grain, quality"
10412900.0,
10412912.0,leaves
10417723.0,"protein, synthesis"
10419491.0,
10421366.0,"gibberellin, response, grain, yield, response, to, gibberellin, yield"
10427770.0,
10428875.0,
10430597.0,
10430884.0,"leaves, leaves, leaves"
10437831.0,
10441504.0,
10444094.0,
10444096.0,
10449588.0,end
10467026.0,"root, length, root, length"
10468640.0,
10469205.0,"flowering, lignin, content, flowering, flowering, flowering"
10471723.0,chromosome
10471724.0,
10471726.0,
10471808.0,
10474904.0,
10481947.0,
10482678.0,bZIP
10483090.0,
10485281.0,
10488116.0,embryogenesis
10488237.0,
10498696.0,
10500235.0,
10504559.0,"seed, seed, chromosome, seed, seed"
10504570.0,
10504571.0,"leaves, leaves"
10504582.0,leaves
10504583.0,"end, end"
10506201.0,
10511568.0,
10511572.0,pigmentation
10511573.0,chromosome
10517832.0,
10517852.0,
10521516.0,
10521517.0,
10521527.0,
10524240.0,"SPL, SPL, SPL, SPL, SPL"
10525534.0,
10527424.0,
10545468.0,chromosome
10545471.0,"chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, end"
10545473.0,morphological
10545948.0,
10551350.0,"yield, MS"
10557252.0,
10579491.0,
10580155.0,
10583402.0,
10585189.0,transformation
10585502.0,seed
10589520.0,leaves
10589842.0,"leaves, leaves, leaves"
10590163.0,"pollen, tube, growth, pollen, tube, growth"
10592026.0,
10592191.0,
10593891.0,
10594101.0,
10594103.0,"leaf, development"
10594119.0,seed
10598098.0,leaves
10598101.0,"bZIP, bZIP"
10598102.0,
10598106.0,
10602771.0,"leaves, leaves, leaves"
10607661.0,
10608665.0,leaves
10610683.0,
10611328.0,"morphological, pigmentation"
10620332.0,
10629001.0,
10632703.0,
10634904.0,
10634908.0,
10634912.0,
